,sample_name,plate_key,experiment,time,sample_no,V1,plate
3,exp1_1end,e12,1,2,1,470.1164818,plate1
19,exp3_1end,e10,3,2,1,235.9878597,plate1
14,exp1_base1,a12,1,1,1,26.10794349,plate3
471,exp3_base1,c8,3,1,1,660.6302583,plate3
23,exp3_2end,c9,3,2,2,311.977531,plate1
91,exp1_2end,c9,1,2,2,122.4866224,plate2
73,exp1_base2,e9,1,1,2,23.65648519,plate3
372,exp3_2base,c10,3,1,2,340.9079146,plate4
5,exp1_27end,g12,1,2,27,31.85167866,plate1
12,ex3_27end,e10,3,2,27,607.9606223,plate2
352,exp3_27base,a7,3,1,27,1315.649803,plate4
7,exp1_28end,a11,1,2,28,88.26254455,plate1
21,exp3_28end,c12,3,2,28,43.04533895,plate1
13,exp1_3end,a12,1,2,3,377.189781,plate1
27,exp3_3end,g10,3,2,3,196.4052605,plate1
472,exp3_3base,e10,3,1,3,134.8242857,plate4
492,exp3_3end,a6,3,2,3,1016.670134,plate4
9,exp1_31end,g11,1,2,31,59.48219903,plate1
392,exp3_31end,e4,3,2,31,1976.311883,plate4
234,exp3_31base,e10,3,1,31,2.733028594,plate5
11,exp1_33end,a10,1,2,33,350.7126277,plate1
571,exp3_base33,c11,3,1,33,43.46144292,plate3
412,exp3_33end,c4,3,2,33,6382.76911,plate4
25,exp3_35end,c11,3,2,35,96.29879261,plate1
131,exp1_35end,c5,1,2,35,2611.750341,plate2
192,exp1_base35,a11,1,1,35,2.153228644,plate3
611,exp3_base35,e7,3,1,35,120.7323217,plate3
15,exp1_4end,a9,1,2,4,331.0324103,plate1
29,exp3_4end,e9,3,2,4,1540.945035,plate1
61,exp4_4end,a10,4,2,4,780.0484647,plate2
212,exp1_base4,g9,1,1,4,132.6788349,plate3
651,exp3_base4,c7,3,1,4,459.1298398,plate3
17,exp1_6end,e11,1,2,6,744.7594072,plate1
31,exp3_6end,c10,3,2,6,1173.939039,plate1
252,exp1_base6,c9,1,1,6,350.8913713,plate3
671,exp3_base6,a4,3,1,6,1012.584224,plate3
47,exp4_12end,c4,4,2,12,1711.137918,plate2
74,exp2_12end,a9,2,2,12,9538.714031,plate4
75,exp2_12base,e4,2,1,12,516.6021005,plate5
254,exp4_12base,c6,4,1,12,270.4545194,plate5
32,exp1_13end,g7,1,2,13,66.10841983,plate2
34,exp1_base13,g11,1,1,13,7.490211101,plate3
491,exp3_base13,a9,3,1,13,144.5611451,plate3
49,exp4_16end,g5,4,2,16,1856.317437,plate2
133,exp2_16end,a8,2,2,16,5031.798812,plate4
114,exp2_16base,e8,2,1,16,27.95834083,plate5
314,exp4_16base,a8,4,1,16,61.12997486,plate5
37,exp3_17end,g6,3,2,17,99.08723056,plate2
54,exp1_base17,g12,1,1,17,13.62557764,plate3
511,exp3_base17,e12,3,1,17,10.49381808,plate3
16,exp1_17end,g5,1,2,17,18228.26186,plate4
51,exp4_18end,e8,4,2,18,1564.757012,plate2
153,exp2_18end,g12,2,2,18,2546.925725,plate4
333,exp4_18base,e6,4,1,18,798.7919605,plate5
191,exp2_20end,a12,2,2,20,191.5423275,plate2
53,exp4_20end,a5,4,2,20,986.9232772,plate2
272,exp2_base20,e6,2,1,20,445.7767757,plate3
211,exp2_21end,c12,2,2,21,528.2678481,plate2
292,exp2_base21,c6,2,1,21,117.6360944,plate3
572,exp4_21end,c7,4,2,21,9658.393865,plate4
373,exp4_21base,c7,4,1,21,722.2766605,plate5
231,exp2_22end,g12,2,2,22,179.4318756,plate2
55,exp4_22end,c6,4,2,22,0.152311777,plate2
312,exp2_base22,g5,2,1,22,979.0250697,plate3
592,exp4_22base,c11,4,1,22,30.52722545,plate4
251,exp2_23end,a11,2,2,23,237.4967219,plate2
57,exp4_23aend,c7,4,2,23,1342.561578,plate2
331,exp2_base23,a6,2,1,23,319.7953602,plate3
271,exp2_24end,c11,2,2,24,795.5390215,plate2
351,exp2_base24,c4,2,1,24,534.1649276,plate3
393,exp4_24base,g8,4,1,24,23.02470637,plate5
52,exp1_25end,g11,1,2,25,58.48044451,plate2
92,exp1_base25,g6,1,1,25,239.6632532,plate3
313,exp3_25end,a4,3,2,25,9648.171057,plate4
18,exp1_25Bend,c9,1,2,25,265.6459083,plate5
72,exp1_29end,e6,1,2,29,1176.150275,plate2
39,exp3_29aend,g9,3,2,29,709.1679552,plate2
132,exp1_base29,e10,1,1,29,63.75011444,plate3
531,exp3_base29,a7,3,1,29,713.6642351,plate3
111,exp1_30end,a8,1,2,30,903.7291834,plate2
41,exp3_30end,a4,3,2,30,1391.983353,plate2
152,exp1_base30,c12,1,1,30,29.72471153,plate3
551,exp3_base30,a10,3,1,30,183.2715929,plate3
43,exp3_32end,e4,3,2,32,279.391451,plate2
172,exp1_base32,e11,1,1,32,31.10834638,plate3
36,exp1_32end,e5,1,2,32,15873.90465,plate4
151,exp1_36end,a9,1,2,36,465.4418304,plate2
631,exp3_base36,g7,3,1,36,227.9436638,plate3
452,exp3_36end,c5,3,2,36,7613.354613,plate4
291,exp2_41end,g10,2,2,41,79.03862124,plate2
59,exp4_41end,g8,4,2,41,1404.153974,plate2
371,exp2_base41,g8,2,1,41,85.74277748,plate3
413,exp4_41base,g6,4,1,41,368.7264072,plate5
171,exp1_5end,g4,1,2,5,2150.14393,plate2
45,exp3_5end,e5,3,2,5,436.1461535,plate2
232,exp1_base5,c10,1,1,5,117.2183729,plate3
512,exp3_5base,a10,3,1,5,913.1246375,plate4
63,exp4_9end,a7,4,2,9,650.4009456,plate2
691,exp3_base9,a8,3,1,9,839.8449864,plate3
193,exp2_9end,e8,2,2,9,4244.830056,plate4
433,exp4_9base,e5,4,1,9,1073.210996,plate5
311,exp2_c49end,e12,2,2,C49,186.5900314,plate2
65,exp4_c49end,c8,4,2,C49,1501.838995,plate2
391,exp2_baseC49,c5,2,1,C49,470.8054416,plate3
33,exp2_c50end,e11,2,2,C50,68.50565481,plate2
67,exp4_c50end,e7,4,2,C50,441.5014163,plate2
134,exp2_C50base,c5,2,1,C50,100.8643905,plate5
453,exp4_C50base,a6,4,1,C50,168.2053666,plate5
35,exp2_c52end,c10,2,2,C52,141.2952455,plate2
69,exp4_c52end,e9,4,2,C52,1770.518591,plate2
672,exp4_C52base,c12,4,1,C52,1147.910066,plate4
174,exp2_C52base,g4,2,1,C52,214.7042193,plate5
71,exp4_c53end,a6,4,2,C53,1718.933542,plate2
411,exp2_baseC53,e5,2,1,C53,388.5525946,plate3
233,exp2_C53end,g8,2,2,C53,3752.047075,plate4
493,exp4_C53base,c4,4,1,C53,316.1830238,plate5
711,exp4_base19,a5,4,1,19,616.7590527,plate3
173,exp2_19end,e9,2,2,19,14.77578749,plate4
112,exp1_base26,g10,1,1,26,381.5281792,plate3
332,exp3_26base,e12,3,1,26,190.6698762,plate4
58,exp1_26end,g9,1,2,26,92.22817104,plate5
591,exp3_base34,e8,3,1,34,363.7100504,plate3
